benchmark_version	record_id	paper_id	title	year	doi	url	block	field	field_description	value_type	source_path	source_sha256	reviewer_1_decision	reviewer_1_value_json	reviewer_1_quote	reviewer_1_location	reviewer_1_reviewer	reviewer_1_date	reviewer_2_decision	reviewer_2_value_json	reviewer_2_quote	reviewer_2_location	reviewer_2_reviewer	reviewer_2_date	adjudicated_decision	adjudicated_value_json	adjudicated_quote	adjudicated_location	adjudicated_reviewer	adjudicated_date	notes
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	A	paper_id	Stable local ID for the paper.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	A	title	Official paper title exactly as published.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	A	authors	Author list; at minimum first + corresponding author.	typing.List[str] | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	A	year	Publication year.	int | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	A	journal	Journal or source title.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	A	doi	DOI in standard form; use NR rather than inventing one.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	A	article_type	Best-fit type. Choose 'article' only for original experimental data.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	B	main_track	Dominant contribution lane (choose one).	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	B	subtrack	More specific placement, e.g. 'serum-free medium', 'perfusion'.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
medium-fulltext-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	B	species	Species discussed/tested (bovine, porcine, chicken, fish...).	typing.List[str] | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad																			
