benchmark_version	record_id	paper_id	title	year	doi	url	block	field	field_description	value_type	source_path	source_sha256	decision	value_json	quote	location	reviewer	date	notes
medium-pilot-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	A	title	Official paper title exactly as published.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad							
medium-pilot-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	A	year	Publication year.	int | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad							
medium-pilot-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	A	doi	DOI in standard form; use NR rather than inventing one.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad							
medium-pilot-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	B	species	Species discussed/tested (bovine, porcine, chicken, fish...).	typing.List[str] | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad							
medium-pilot-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	D	cell_type	Cell identity: satellite cells, myoblasts, FAPs, adipocytes, iPSC...	typing.List[str] | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad							
medium-pilot-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	D	primary_or_cell_line	Primary, established line, mixture, or unclear.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad							
medium-pilot-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	D	culture_stage	Explicit experimental stage(s): isolation, expansion/proliferation, differentiation, or maturation; require source evidence.	typing.List[str] | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad							
medium-pilot-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	D	passage_info	Passage number, doubling history, senescence note, expansion window.	str | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad							
medium-pilot-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	E	basal_medium	Base platform(s): DMEM, DMEM/F12, Ham's F-10, custom defined base.	typing.List[str] | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad							
medium-pilot-v1	R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	2022	10.1038/s42003-022-03423-8	https://www.nature.com/articles/s42003-022-03423-8	E	medium_type	Explicit formulation role/type, e.g. expansion medium, differentiation medium, conditioned medium, or spent medium.	typing.List[str] | None	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	2caba0ae328473d43a17c330c14d467aef763c2877a74b0f465d42c6cc8831ad							
