benchmark_version	candidate_id	record_id	paper_id	title	doi	pdf_path	pdf_sha256	pdf_page	block_index	bbox_points	block_text_sha256	signals	linked_fields	decision	source_kind	treatment_label	control_label	outcome	timepoint	effect_pointer	treatment_mean_pointer	control_mean_pointer	treatment_dispersion_pointer	control_dispersion_pointer	dispersion_type	treatment_n_pointer	control_n_pointer	sample_size_status	replicate_type	same_comparison	reviewer	date	notes
quantitative-pilot-v1	Q001	R017	serum-free-media-for-the-growth-of-primary-bovine-myoblasts	Serum-free media for the growth of primary bovine myoblasts	10.1007/s10616-019-00361-y	data/papers/serum-free-media-for-the-growth-of-primary-bovine-myoblasts/serum-free-media-for-the-growth-of-primary-bovine-myoblasts.pdf	98247b864a459cb28cc30e90f4dae9cfb565e4aed41094429c5ee0aee0d420c3	3	11	284.883,457.262,500.309,566.832	3cf0ce127393cfbfc71f6754219527cead3fda4a4a9d4123a52032147e04be8e	sd;outcome;medium;error_policy	J.key_numeric_results;J.experimental_comparison_groups;J.sample_size_or_replicate_info																				
quantitative-pilot-v1	Q002	R017	serum-free-media-for-the-growth-of-primary-bovine-myoblasts	Serum-free media for the growth of primary bovine myoblasts	10.1007/s10616-019-00361-y	data/papers/serum-free-media-for-the-growth-of-primary-bovine-myoblasts/serum-free-media-for-the-growth-of-primary-bovine-myoblasts.pdf	98247b864a459cb28cc30e90f4dae9cfb565e4aed41094429c5ee0aee0d420c3	5	2	46.772,215.852,262.217,274.169	4181e87e80609c886a9b365d2f4a22d1ce89466484606959e308189385430b4d	sample_size;outcome;medium;figure_caption	J.key_numeric_results;J.experimental_comparison_groups;J.sample_size_or_replicate_info																				
quantitative-pilot-v1	Q003	R017	serum-free-media-for-the-growth-of-primary-bovine-myoblasts	Serum-free media for the growth of primary bovine myoblasts	10.1007/s10616-019-00361-y	data/papers/serum-free-media-for-the-growth-of-primary-bovine-myoblasts/serum-free-media-for-the-growth-of-primary-bovine-myoblasts.pdf	98247b864a459cb28cc30e90f4dae9cfb565e4aed41094429c5ee0aee0d420c3	6	2	46.772,386.611,262.224,454.962	7714f542965f02fcc7012f68ff1a87efcf830086e7a39418d4d17e21211adb81	sample_size;outcome;medium;figure_caption	J.key_numeric_results;J.experimental_comparison_groups;J.sample_size_or_replicate_info																				
quantitative-pilot-v1	Q004	R017	serum-free-media-for-the-growth-of-primary-bovine-myoblasts	Serum-free media for the growth of primary bovine myoblasts	10.1007/s10616-019-00361-y	data/papers/serum-free-media-for-the-growth-of-primary-bovine-myoblasts/serum-free-media-for-the-growth-of-primary-bovine-myoblasts.pdf	98247b864a459cb28cc30e90f4dae9cfb565e4aed41094429c5ee0aee0d420c3	7	8	46.772,530.682,262.200,652.670	bea7c74d4396fe156fc1abb514f45aa7da7d96c33c0c588c1cc4d00760c7234b	sample_size;outcome;medium	J.key_numeric_results;J.experimental_comparison_groups;J.sample_size_or_replicate_info																				
quantitative-pilot-v1	Q005	R018	a-serum-free-media-formulation-for-cultured-meat-production-supports-bovine-sate	A serum-free media formulation for cultured meat production supports bovine satellite cell differentiation in the absence of serum starvation	10.1038/s43016-021-00419-1	data/papers/a-serum-free-media-formulation-for-cultured-meat-production-supports-bovine-sate/a-serum-free-media-formulation-for-cultured-meat-production-supports-bovine-sate.pdf	3985c2d8263a95f57ab46afa826bdf9714eac5f155c0627d5841f73851ca76a7	3	103	42.520,661.853,550.874,747.109	951f2478477cdeb46d9a3da5e7fa5e74c00b2efaa6346a9d6640f047e3860cd4	sample_size;outcome;medium;figure_caption;mean;error_policy	J.key_numeric_results;J.experimental_comparison_groups;J.sample_size_or_replicate_info																				
quantitative-pilot-v1	Q006	R018	a-serum-free-media-formulation-for-cultured-meat-production-supports-bovine-sate	A serum-free media formulation for cultured meat production supports bovine satellite cell differentiation in the absence of serum starvation	10.1038/s43016-021-00419-1	data/papers/a-serum-free-media-formulation-for-cultured-meat-production-supports-bovine-sate/a-serum-free-media-formulation-for-cultured-meat-production-supports-bovine-sate.pdf	3985c2d8263a95f57ab46afa826bdf9714eac5f155c0627d5841f73851ca76a7	5	3	303.638,126.659,554.891,244.202	1d2748e3a3e05c467c126376be8dd677e875e3aa8869dfb7944de20461928386	named_dispersion_value;sample_size;outcome;medium	J.key_numeric_results;J.experimental_comparison_groups;J.sample_size_or_replicate_info																				
quantitative-pilot-v1	Q007	R018	a-serum-free-media-formulation-for-cultured-meat-production-supports-bovine-sate	A serum-free media formulation for cultured meat production supports bovine satellite cell differentiation in the absence of serum starvation	10.1038/s43016-021-00419-1	data/papers/a-serum-free-media-formulation-for-cultured-meat-production-supports-bovine-sate/a-serum-free-media-formulation-for-cultured-meat-production-supports-bovine-sate.pdf	3985c2d8263a95f57ab46afa826bdf9714eac5f155c0627d5841f73851ca76a7	6	82	42.520,640.444,554.280,746.692	4b7142625c352c30fd42b3f7b19700077810c057bc9b199b9074a31a8a7bf31b	sample_size;outcome;medium;figure_caption;mean;error_policy	J.key_numeric_results;J.experimental_comparison_groups;J.sample_size_or_replicate_info																				
quantitative-pilot-v1	Q008	R018	a-serum-free-media-formulation-for-cultured-meat-production-supports-bovine-sate	A serum-free media formulation for cultured meat production supports bovine satellite cell differentiation in the absence of serum starvation	10.1038/s43016-021-00419-1	data/papers/a-serum-free-media-formulation-for-cultured-meat-production-supports-bovine-sate/a-serum-free-media-formulation-for-cultured-meat-production-supports-bovine-sate.pdf	3985c2d8263a95f57ab46afa826bdf9714eac5f155c0627d5841f73851ca76a7	14	1	42.520,612.538,550.640,655.810	562c74e0122328e0be71e18dc4fa7d11c5da7afeeb0c01ce642d8a82d2565b88	sample_size;sd;outcome;medium;figure_caption;mean;error_policy	J.key_numeric_results;J.experimental_comparison_groups;J.sample_size_or_replicate_info																				
quantitative-pilot-v1	Q009	R018	a-serum-free-media-formulation-for-cultured-meat-production-supports-bovine-sate	A serum-free media formulation for cultured meat production supports bovine satellite cell differentiation in the absence of serum starvation	10.1038/s43016-021-00419-1	data/papers/a-serum-free-media-formulation-for-cultured-meat-production-supports-bovine-sate/a-serum-free-media-formulation-for-cultured-meat-production-supports-bovine-sate.pdf	3985c2d8263a95f57ab46afa826bdf9714eac5f155c0627d5841f73851ca76a7	16	1	42.520,50.113,553.314,156.360	8fc2ce1be56db94093744173a0d5f704eb13df7a945aa8e0ff996e6287fc18c1	sample_size;sd;outcome;medium;figure_caption;mean;error_policy	J.key_numeric_results;J.experimental_comparison_groups;J.sample_size_or_replicate_info																				
quantitative-pilot-v1	Q010	R018	a-serum-free-media-formulation-for-cultured-meat-production-supports-bovine-sate	A serum-free media formulation for cultured meat production supports bovine satellite cell differentiation in the absence of serum starvation	10.1038/s43016-021-00419-1	data/papers/a-serum-free-media-formulation-for-cultured-meat-production-supports-bovine-sate/a-serum-free-media-formulation-for-cultured-meat-production-supports-bovine-sate.pdf	3985c2d8263a95f57ab46afa826bdf9714eac5f155c0627d5841f73851ca76a7	18	1	42.520,50.113,551.930,124.873	97cb8a30cd4ccaa25ddea8a7f09da1807b9498f3ca149deab5b79c95b37217ee	sample_size;sd;outcome;medium;figure_caption;error_policy	J.key_numeric_results;J.experimental_comparison_groups;J.sample_size_or_replicate_info																				
