review_id	source_record_id	status	decision	reviewer	review_date	fulltext_path	suggested_ranges	selected_range	key_finding	formulation_or_variable	dose_or_range	endpoint	numeric_effect_status	numeric_effect_metric	numeric_effect_value	numeric_effect_variance	numeric_effect_notes	cell_context	limitations	wetlab_use	notes
H001	R015	ready_for_human_review				data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	4928-5973;7454-10419;584-1730														Human reviewer: set decision to supported, partial, unsupported, uncertain, or defer. For supported/partial, fill selected_range and key_finding.
H002	R015	ready_for_human_review				data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	7454-10419;4928-5973;584-1730														Human reviewer: set decision to supported, partial, unsupported, uncertain, or defer. For supported/partial, fill selected_range and key_finding.
H003	R015	ready_for_human_review				data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/fulltext.txt	7454-10419;4928-5973;3965-4926														Human reviewer: set decision to supported, partial, unsupported, uncertain, or defer. For supported/partial, fill selected_range and key_finding.
H004	R016	ready_for_human_review				data/papers/development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov/fulltext.txt	13185-18322;18323-24893;39977-45025														Human reviewer: set decision to supported, partial, unsupported, uncertain, or defer. For supported/partial, fill selected_range and key_finding.
H005	R016	ready_for_human_review				data/papers/development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov/fulltext.txt	13185-18322;18323-24893;39977-45025														Human reviewer: set decision to supported, partial, unsupported, uncertain, or defer. For supported/partial, fill selected_range and key_finding.
H006	R017	ready_for_human_review				data/papers/serum-free-media-for-the-growth-of-primary-bovine-myoblasts/fulltext.txt	11523-14880;7578-11522;20219-23837														Human reviewer: set decision to supported, partial, unsupported, uncertain, or defer. For supported/partial, fill selected_range and key_finding.
H007	R018	ready_for_human_review				data/papers/a-serum-free-media-formulation-for-cultured-meat-production-supports-bovine-sate/fulltext.txt	2378-8256;23235-31306;12469-20778														Human reviewer: set decision to supported, partial, unsupported, uncertain, or defer. For supported/partial, fill selected_range and key_finding.
H008	R019	ready_for_human_review				data/papers/spent-media-analysis-suggests-cultivated-meat-media-will-require-species-and-cel/fulltext.txt	0-6323;31873-39708;14961-20489														Human reviewer: set decision to supported, partial, unsupported, uncertain, or defer. For supported/partial, fill selected_range and key_finding.
H009	R020	ready_for_human_review				data/papers/development-of-serum-free-and-grain-derived-nutrient-free-medium-using-microalga/fulltext.txt	3456-7441;0-3455;43475-51604														Human reviewer: set decision to supported, partial, unsupported, uncertain, or defer. For supported/partial, fill selected_range and key_finding.
H010	R021	ready_for_human_review				data/papers/a-simple-and-robust-serum-free-media-for-the-proliferation-of-muscle-cells/fulltext.txt	0-5055;65213-74491;18625-26847														Human reviewer: set decision to supported, partial, unsupported, uncertain, or defer. For supported/partial, fill selected_range and key_finding.
H011	R021	ready_for_human_review				data/papers/a-simple-and-robust-serum-free-media-for-the-proliferation-of-muscle-cells/fulltext.txt	0-5055;18625-26847;46453-52400														Human reviewer: set decision to supported, partial, unsupported, uncertain, or defer. For supported/partial, fill selected_range and key_finding.
H012	R022	ready_for_human_review				data/papers/low-cost-food-grade-alternatives-for-serum-albumins-in-fbs-free-cell-culture-med/fulltext.txt	4685-11667;0-4684;37701-42494														Human reviewer: set decision to supported, partial, unsupported, uncertain, or defer. For supported/partial, fill selected_range and key_finding.
H013	R022	ready_for_human_review				data/papers/low-cost-food-grade-alternatives-for-serum-albumins-in-fbs-free-cell-culture-med/fulltext.txt	4685-11667;0-4684;27122-33782														Human reviewer: set decision to supported, partial, unsupported, uncertain, or defer. For supported/partial, fill selected_range and key_finding.
H014	R023	ready_for_human_review				data/papers/influence-of-media-composition-on-the-level-of-bovine-satellite-cell-proliferati/fulltext.txt	6376-8434;35731-38478;38479-40034														Human reviewer: set decision to supported, partial, unsupported, uncertain, or defer. For supported/partial, fill selected_range and key_finding.
