record_id	category	detail
R015	human_curation_pending	needs_full_text_check
R016	human_curation_pending	needs_full_text_check
R017	human_curation_pending	fulltext_ingested_for_review_packet
R018	human_curation_pending	fulltext_ingested_for_review_packet
R019	human_curation_pending	needs_full_text_check
R020	human_curation_pending	needs_full_text_check
R021	human_curation_pending	fulltext_ingested_for_review_packet
R022	human_curation_pending	needs_full_text_check
R023	human_curation_pending	fulltext_ingested_for_review_packet
R024	human_curation_pending	needs_institutional_or_human_full_text
R029	human_curation_pending	needs_full_text_check
R045	human_curation_pending	fulltext_ingested_for_review_packet
R046	human_curation_pending	fulltext_ingested_for_review_packet
R047	human_curation_pending	fulltext_ingested_for_review_packet
R048	human_curation_pending	fulltext_ingested_for_review_packet
R049	human_curation_pending	fulltext_ingested_for_review_packet
R050	human_curation_pending	fulltext_ingested_for_review_packet
R051	human_curation_pending	fulltext_ingested_for_review_packet
R052	human_curation_pending	source_verified_scope_review_open
R053	human_curation_pending	source_verified_scope_review_open
R054	human_curation_pending	source_verified_scope_review_open
R055	human_curation_pending	source_verified_scope_review_open
R056	human_curation_pending	source_verified_scope_review_open
