review_id	source_record_id	paper_id	status	operator	operator_status	ready	context_chars	routed_section_ids	signal_terms	numeric_hits	structured_source	text_chars	sections	tables	figures	title	fulltext_path
H031	R045	microbial-lysates-as-low-cost-serum-replacements-in-cellular-agriculture-media-f	ready_for_operator_extraction	context	ready	yes	66628	S1;S2;S5;S6	bovine;cell;cells;muscle;myoblast;satellite	24	plain_text	106911	7	0	0	Microbial lysates as low-cost serum replacements in cellular agriculture media formulation	data/papers/microbial-lysates-as-low-cost-serum-replacements-in-cellular-agriculture-media-f/fulltext.txt
H031	R045	microbial-lysates-as-low-cost-serum-replacements-in-cellular-agriculture-media-f	ready_for_operator_extraction	medium	ready	yes	66923	S3;S5;S6	albumin;basal;dmem;extract;fgf2;formulation;hydrolysate;media;medium;serum;serum-free;supplement	23	plain_text	106911	7	0	0	Microbial lysates as low-cost serum replacements in cellular agriculture media formulation	data/papers/microbial-lysates-as-low-cost-serum-replacements-in-cellular-agriculture-media-f/fulltext.txt
H031	R045	microbial-lysates-as-low-cost-serum-replacements-in-cellular-agriculture-media-f	ready_for_operator_extraction	dose	ready	yes	28460	S3	concentration;doubling;passage;proliferation;viability	20	plain_text	106911	7	0	0	Microbial lysates as low-cost serum replacements in cellular agriculture media formulation	data/papers/microbial-lysates-as-low-cost-serum-replacements-in-cellular-agriculture-media-f/fulltext.txt
H031	R045	microbial-lysates-as-low-cost-serum-replacements-in-cellular-agriculture-media-f	ready_for_operator_extraction	endpoints	ready	yes	28460	S3	differentiation;doubling;myog;myogenic;pax7;proliferation;viability	20	plain_text	106911	7	0	0	Microbial lysates as low-cost serum replacements in cellular agriculture media formulation	data/papers/microbial-lysates-as-low-cost-serum-replacements-in-cellular-agriculture-media-f/fulltext.txt
H031	R045	microbial-lysates-as-low-cost-serum-replacements-in-cellular-agriculture-media-f	ready_for_operator_extraction	findings	ready	yes	67189	S1;S2;S3;S4	alternative;cost;decreased;improved;increased;limitation;serum-free;significant	42	plain_text	106911	7	0	0	Microbial lysates as low-cost serum replacements in cellular agriculture media formulation	data/papers/microbial-lysates-as-low-cost-serum-replacements-in-cellular-agriculture-media-f/fulltext.txt
H032	R046	R046	ready_for_operator_extraction	context	ready	yes	25744	S1;S8.1;S8.2.1;S8.2.2;S8.2.3;S8.3.1;S8.3.2;S8.3.3;S8.3.4;S8.3.5;S8.3.6;S8.3.7;S8.3.8;S8.3.9;S8.3.10;S8.3.11;S8.3.12;S8.4	bovine;cell;cells;muscle;satellite	31	jats_xml	54032	29	1	5	Serum-free cultured meat production by using Pichia pastoris-derived recombinant albumin	data/papers/serum-free-cultured-meat-production-by-using-pichia-pastoris-derived-recombinant/fulltext.txt
H032	R046	R046	ready_for_operator_extraction	medium	ready	yes	33027	S2.1;S2.2;S2.3;S8.1;S8.2.1;S8.2.2;S8.2.3;S8.3.1;S8.3.2;S8.3.3;S8.3.4;S8.3.5;S8.3.6;S8.3.7;S8.3.8;S8.3.9;S8.3.10;S8.3.11;S8.3.12;S8.4	albumin;basal;dmem;extract;formulation;media;medium;serum;serum-free;supplement	45	jats_xml	54032	29	1	5	Serum-free cultured meat production by using Pichia pastoris-derived recombinant albumin	data/papers/serum-free-cultured-meat-production-by-using-pichia-pastoris-derived-recombinant/fulltext.txt
H032	R046	R046	ready_for_operator_extraction	dose	ready	yes	33027	S2.1;S2.2;S2.3;S8.1;S8.2.1;S8.2.2;S8.2.3;S8.3.1;S8.3.2;S8.3.3;S8.3.4;S8.3.5;S8.3.6;S8.3.7;S8.3.8;S8.3.9;S8.3.10;S8.3.11;S8.3.12;S8.4	cell number;concentration;doubling;mg/ml;ng/ml;passage;proliferation;viability	45	jats_xml	54032	29	1	5	Serum-free cultured meat production by using Pichia pastoris-derived recombinant albumin	data/papers/serum-free-cultured-meat-production-by-using-pichia-pastoris-derived-recombinant/fulltext.txt
H032	R046	R046	ready_for_operator_extraction	endpoints	ready	yes	33027	S2.1;S2.2;S2.3;S8.1;S8.2.1;S8.2.2;S8.2.3;S8.3.1;S8.3.2;S8.3.3;S8.3.4;S8.3.5;S8.3.6;S8.3.7;S8.3.8;S8.3.9;S8.3.10;S8.3.11;S8.3.12;S8.4	cell counting;differentiation;doubling;myod;myog;myogenic;pax7;proliferation;viability	45	jats_xml	54032	29	1	5	Serum-free cultured meat production by using Pichia pastoris-derived recombinant albumin	data/papers/serum-free-cultured-meat-production-by-using-pichia-pastoris-derived-recombinant/fulltext.txt
H032	R046	R046	ready_for_operator_extraction	findings	ready	yes	22339	S1;S2.1;S2.2;S2.3;S3;S3.1	alternative;conclusion;cost;decreased;increased;limitation;serum-free;significant	19	jats_xml	54032	29	1	5	Serum-free cultured meat production by using Pichia pastoris-derived recombinant albumin	data/papers/serum-free-cultured-meat-production-by-using-pichia-pastoris-derived-recombinant/fulltext.txt
