record_id	paper_id	doi	source_sha256	table_count	cell_count	structural_candidate_tables	incomplete_tables	excluded_statistical_tables	status
R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	10.1038/s42003-022-03423-8	46d9481903bb21d91e26d1b2ef8483e572a68ce62f6f252057f7c3aa3c1a9bce	0	0	0	0	0	no_structured_tables
R016	development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov	10.3389/fbioe.2022.895289	2f4b21e9ee7e1fb83a6559551c7d96c227480b5170584666d7880db636764643	2	128	0	0	0	no_tier1_structure
R017	serum-free-media-for-the-growth-of-primary-bovine-myoblasts	10.1007/s10616-019-00361-y	afdf627dc1e7cfaec01273aa273d269b16ee9dfd32081200d89078fe7ab9ca48	0	0	0	0	0	no_structured_tables
R019	spent-media-analysis-suggests-cultivated-meat-media-will-require-species-and-cel	10.1038/s41538-022-00157-z	19741ef004cdecbcfef429918844f46a76264ab6fac5c0fcebf7f18b60f20cf9	0	0	0	0	0	no_structured_tables
R020	development-of-serum-free-and-grain-derived-nutrient-free-medium-using-microalga	10.1038/s41598-023-27629-w	8278ab8c2b4355321f6b0d672ee3f265102fb55a25b41540feb3e672593a05ec	1	26	0	0	0	no_tier1_structure
R022	low-cost-food-grade-alternatives-for-serum-albumins-in-fbs-free-cell-culture-med	10.1038/s41598-025-99603-7	2190eb7e56101a87e5d89664d20685d75120f1d4a1fc03e22a4bcb013cfe1ab1	0	0	0	0	0	no_structured_tables
R023	influence-of-media-composition-on-the-level-of-bovine-satellite-cell-proliferati	10.3390/ani13111855	6d58830bc7252c39462f784c77ec78c4f28e008b00247e52c18643bc609460c5	13	841	0	1	8	no_tier1_structure
R029	maintaining-bovine-satellite-cells-stemness-through-p38-pathway	10.1038/s41598-018-28746-7	814e96b8ec5554cadf5157f844f22b7bc82cc32aa5c792c27acb7cbf1c03e4bc	0	0	0	0	0	no_structured_tables
R046	serum-free-cultured-meat-production-by-using-pichia-pastoris-derived-recombinant	10.1016/j.isci.2025.113242	604301a7c7f82d77615f07995faf8521bbf3c1ace99b832f1843a45c804e717f	1	263	0	0	0	no_tier1_structure
R052	drone-pupae-extract-enhances-hanwoo-myosatellite-cell-function-for-cultivated-me	10.5187/jast.2024.e98	ef7767e27f77c9a47098ddd414ea6ecb0d6cd41838f9a8e8c3ee9fe6df153901	6	110	0	0	3	no_tier1_structure
R053	the-l-ascorbic-acid-increases-proliferation-and-differentiation-of-yanbian-cattl	10.5851/kosfa.2024.e50	456c1a7dcad5d248ad02bac14c3abc367815ded5de1cc22994b1d603258991ac	1	44	0	0	0	no_tier1_structure
R054	effect-of-glucose-and-lysine-supplementation-on-myogenic-and-adipogenic-gene-exp	10.1016/j.crfs.2024.100879	7b588eca929d73ce7a5d2d0dc17b6d959d1c37a5dc82fea15572d75f1e9e4036	12	652	0	8	1	no_tier1_structure
R055	effect-of-crude-polysaccharides-from-ecklonia-cava-hydrolysate-on-cell-prolifera	10.3390/foods13040563	e15e92cc8cca059fffa8a089855e4608420496fa1d752c0e8430ef2f2a3e79ff	1	39	0	0	0	no_tier1_structure
R056	conditioned-serum-free-culture-medium-accomplishes-adhesion-and-proliferation-of	10.1038/s41538-024-00355-x	8e4e0459f236480a5fdc215a74dfaa0a47d3b5c9b8de88ac159ec203b8735eb0	0	0	0	0	0	no_structured_tables
