record_id	paper_id	table_id	source_table_id	source_sha256	row_count	column_count	cell_count	numeric_cell_count	combined_stat_cell_ids	sample_size_cell_ids	sample_size_context_ids	dispersion_context_ids	dispersion_kind	response_context	exclusion_reason	status
R016	development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov	T1	T1	2f4b21e9ee7e1fb83a6559551c7d96c227480b5170584666d7880db636764643	18	5	80	0	-	-	-	-	none	false	composition_or_resource_statistics	no_group_stat_structure
R016	development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov	T2	T2	2f4b21e9ee7e1fb83a6559551c7d96c227480b5170584666d7880db636764643	12	4	48	0	-	-	-	-	none	false	composition_or_resource_statistics	no_group_stat_structure
R020	development-of-serum-free-and-grain-derived-nutrient-free-medium-using-microalga	T1	Tab1	8278ab8c2b4355321f6b0d672ee3f265102fb55a25b41540feb3e672593a05ec	9	3	26	7	-	-	-	-	none	false	composition_or_resource_statistics	no_group_stat_structure
R023	influence-of-media-composition-on-the-level-of-bovine-satellite-cell-proliferati	T1	animals-13-01855-t001	6d58830bc7252c39462f784c77ec78c4f28e008b00247e52c18643bc609460c5	5	2	10	0	-	-	-	-	none	false	composition_or_resource_statistics	no_group_stat_structure
R023	influence-of-media-composition-on-the-level-of-bovine-satellite-cell-proliferati	T2	animals-13-01855-t002	6d58830bc7252c39462f784c77ec78c4f28e008b00247e52c18643bc609460c5	4	4	16	0	-	-	-	-	none	false	-	no_group_stat_structure
R023	influence-of-media-composition-on-the-level-of-bovine-satellite-cell-proliferati	T3	animals-13-01855-t003	6d58830bc7252c39462f784c77ec78c4f28e008b00247e52c18643bc609460c5	20	11	217	120	-	-	-	-	none	false	-	incomplete_missing_dispersion_type_and_sample_size
R023	influence-of-media-composition-on-the-level-of-bovine-satellite-cell-proliferati	T4	animals-13-01855-t004	6d58830bc7252c39462f784c77ec78c4f28e008b00247e52c18643bc609460c5	5	9	38	24	-	-	-	-	none	false	model_or_significance_statistics	no_group_stat_structure
R023	influence-of-media-composition-on-the-level-of-bovine-satellite-cell-proliferati	T5	animals-13-01855-t005	6d58830bc7252c39462f784c77ec78c4f28e008b00247e52c18643bc609460c5	8	4	32	7	-	-	-	-	none	false	composition_or_resource_statistics	no_group_stat_structure
R023	influence-of-media-composition-on-the-level-of-bovine-satellite-cell-proliferati	T6	animals-13-01855-t006	6d58830bc7252c39462f784c77ec78c4f28e008b00247e52c18643bc609460c5	11	6	66	38	-	-	-	T6.R1.C4	sem	false	model_or_significance_statistics	excluded_non_effect_statistics
R023	influence-of-media-composition-on-the-level-of-bovine-satellite-cell-proliferati	T7	animals-13-01855-t007	6d58830bc7252c39462f784c77ec78c4f28e008b00247e52c18643bc609460c5	11	6	66	38	-	-	-	T7.R1.C4	sem	false	model_or_significance_statistics	excluded_non_effect_statistics
R023	influence-of-media-composition-on-the-level-of-bovine-satellite-cell-proliferati	T8	animals-13-01855-t008	6d58830bc7252c39462f784c77ec78c4f28e008b00247e52c18643bc609460c5	11	6	66	38	-	-	-	T8.R1.C4	sem	false	model_or_significance_statistics	excluded_non_effect_statistics
R023	influence-of-media-composition-on-the-level-of-bovine-satellite-cell-proliferati	T9	animals-13-01855-t009	6d58830bc7252c39462f784c77ec78c4f28e008b00247e52c18643bc609460c5	11	6	66	41	-	-	-	T9.R1.C4	sem	false	model_or_significance_statistics	excluded_non_effect_statistics
R023	influence-of-media-composition-on-the-level-of-bovine-satellite-cell-proliferati	T10	animals-13-01855-t010	6d58830bc7252c39462f784c77ec78c4f28e008b00247e52c18643bc609460c5	11	6	66	32	-	-	-	T10.R1.C4	sem	false	model_or_significance_statistics	excluded_non_effect_statistics
R023	influence-of-media-composition-on-the-level-of-bovine-satellite-cell-proliferati	T11	animals-13-01855-t011	6d58830bc7252c39462f784c77ec78c4f28e008b00247e52c18643bc609460c5	11	6	66	35	-	-	-	T11.R1.C4	sem	false	model_or_significance_statistics	excluded_non_effect_statistics
R023	influence-of-media-composition-on-the-level-of-bovine-satellite-cell-proliferati	T12	animals-13-01855-t012	6d58830bc7252c39462f784c77ec78c4f28e008b00247e52c18643bc609460c5	11	6	66	35	-	-	-	T12.R1.C4	sem	false	model_or_significance_statistics	excluded_non_effect_statistics
R023	influence-of-media-composition-on-the-level-of-bovine-satellite-cell-proliferati	T13	animals-13-01855-t013	6d58830bc7252c39462f784c77ec78c4f28e008b00247e52c18643bc609460c5	11	6	66	38	-	-	-	T13.R1.C4	sem	false	model_or_significance_statistics	excluded_non_effect_statistics
R046	serum-free-cultured-meat-production-by-using-pichia-pastoris-derived-recombinant	T1	undtbl1	604301a7c7f82d77615f07995faf8521bbf3c1ace99b832f1843a45c804e717f	107	3	263	3	-	-	-	-	none	false	composition_or_resource_statistics	no_group_stat_structure
