record_id	paper_id	pdf_status	pdf_path	pdf_sha256	pages	line_tables	line_cells	line_stat_cells	text_regions	text_cells	text_stat_cells	classification	error
R015	simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	audited	data/papers/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli/simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli.pdf	c132a2d416e341c9be246f9b10c32db346e9260607af564504ea66f19873e5aa	18	0	0	0	17	5616	5	layout_text_candidates_only	-
R016	development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov	audited	data/papers/development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov/development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov.pdf	4d2d8aee7a7ab69d7504f3bd67f743cdb1e8a35825e22244699bd4033b2e7c04	15	0	0	0	15	5542	2	layout_text_candidates_only	-
R017	serum-free-media-for-the-growth-of-primary-bovine-myoblasts	audited	data/papers/serum-free-media-for-the-growth-of-primary-bovine-myoblasts/serum-free-media-for-the-growth-of-primary-bovine-myoblasts.pdf	98247b864a459cb28cc30e90f4dae9cfb565e4aed41094429c5ee0aee0d420c3	10	1	4	0	10	3214	18	layout_text_candidates_only	-
R018	a-serum-free-media-formulation-for-cultured-meat-production-supports-bovine-sate	audited	data/papers/a-serum-free-media-formulation-for-cultured-meat-production-supports-bovine-sate/a-serum-free-media-formulation-for-cultured-meat-production-supports-bovine-sate.pdf	3985c2d8263a95f57ab46afa826bdf9714eac5f155c0627d5841f73851ca76a7	27	10	92	0	21	10093	20	layout_text_candidates_only	-
R019	spent-media-analysis-suggests-cultivated-meat-media-will-require-species-and-cel	audited	data/papers/spent-media-analysis-suggests-cultivated-meat-media-will-require-species-and-cel/spent-media-analysis-suggests-cultivated-meat-media-will-require-species-and-cel.pdf	ca798e420752e8f6b04034b1ebaaef3e8cbaed82e9926efefb548319d2b75815	10	1	30	0	10	5038	0	no_stat_candidates	-
R020	development-of-serum-free-and-grain-derived-nutrient-free-medium-using-microalga	audited	data/papers/development-of-serum-free-and-grain-derived-nutrient-free-medium-using-microalga/development-of-serum-free-and-grain-derived-nutrient-free-medium-using-microalga.pdf	1df2b7b9cd465dd858435f6a3867d54a66435d4402ef4d0e4b2080057dac0ea5	13	2	29	0	13	4184	21	layout_text_candidates_only	-
R021	a-simple-and-robust-serum-free-media-for-the-proliferation-of-muscle-cells	audited	data/papers/a-simple-and-robust-serum-free-media-for-the-proliferation-of-muscle-cells/a-simple-and-robust-serum-free-media-for-the-proliferation-of-muscle-cells.pdf	dc6170936fc6e49ffa7109d5985988bc5454ff4211cd3ed4ba042828f9610b35	17	0	0	0	17	6974	28	layout_text_candidates_only	-
R022	low-cost-food-grade-alternatives-for-serum-albumins-in-fbs-free-cell-culture-med	audited	data/papers/low-cost-food-grade-alternatives-for-serum-albumins-in-fbs-free-cell-culture-med/low-cost-food-grade-alternatives-for-serum-albumins-in-fbs-free-cell-culture-med.pdf	cff8bbad90f958f6a0a311c5692c482cd3e8420462d2502bd949fc64869719f4	16	1	3	0	16	5761	3	layout_text_candidates_only	-
R023	influence-of-media-composition-on-the-level-of-bovine-satellite-cell-proliferati	missing										not_audited	found 0 PDF files
R024	sustainable-alternatives-to-fetal-bovine-serum-evaluating-the-role-of-plant-and	missing										not_audited	found 0 PDF files
R029	maintaining-bovine-satellite-cells-stemness-through-p38-pathway	missing										not_audited	found 0 PDF files
R045	microbial-lysates-as-low-cost-serum-replacements-in-cellular-agriculture-media-f	audited	data/papers/microbial-lysates-as-low-cost-serum-replacements-in-cellular-agriculture-media-f/microbial-lysates-as-low-cost-serum-replacements-in-cellular-agriculture-media-f.pdf	97830f99935a05b093ab1e3d8336d194604435bc0bd426560d72e52c43a80f36	47	5	30	0	39	12636	11	layout_text_candidates_only	-
R046	serum-free-cultured-meat-production-by-using-pichia-pastoris-derived-recombinant	missing										not_audited	found 0 PDF files
R047	satellite-cells-sourced-from-bull-calves-and-dairy-cows-differs-in-proliferative	audited	data/papers/satellite-cells-sourced-from-bull-calves-and-dairy-cows-differs-in-proliferative/satellite-cells-sourced-from-bull-calves-and-dairy-cows-differs-in-proliferative.pdf	bb96285cf82254d0497028a221062e95a921d7e1181e608c38e2d29a18f8e839	13	0	0	0	13	4780	8	layout_text_candidates_only	-
