source_row	year	doi	title	why	status	epmc_pmcid	epmc_is_open_access	epmc_in_epmc	epmc_source_url	crossref_title	crossref_cc_license_url	crossref_license_version	crossref_fulltext_url	crossref_fulltext_content_type	notes	audit_schema
2	2026	10.1016/j.foodcont.2025.111830	Antimicrobial peptides can substitute antibiotics to control bacterial growth in cultivated meat production without compromising myogenic potential	Antimicrobials in MSC culture medium	crossref_cc_vor_candidate					Antimicrobial peptides can substitute antibiotics to control bacterial growth in cultivated meat production without compromising myogenic potential	http://creativecommons.org/licenses/by/4.0/	vor	https://api.elsevier.com/content/article/PII:S0956713525006991?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
3	2026	10.1016/j.foodres.2025.118251	Postbiotics as a functional supplement to develop cell culture media for cultivated meat production	Postbiotics as FBS alternative for medium	crossref_cc_vor_candidate		N	N		Postbiotics as a functional supplement to develop cell culture media for cultivated meat production	http://creativecommons.org/licenses/by/4.0/	vor	https://api.elsevier.com/content/article/PII:S0963996925025918?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
4	2026	10.1016/j.jfutfo.2024.05.014	Cultural optimization of pigeon muscle satellite cells and nutritional evaluation of the pigeon-derived cultivated meat	Optimizes culture conditions for satellite cells	crossref_cc_vor_candidate					Cultural optimization of pigeon muscle satellite cells and nutritional evaluation of the pigeon-derived cultivated meat	http://creativecommons.org/licenses/by-nc-nd/4.0/	vor	https://api.elsevier.com/content/article/PII:S2772566925000771?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
5	2026	10.1039/d5fb00572h	Serum-free media drive lipid accumulation in porcine satellite cells intended for cultivated meat	Serum-free media, lipid accumulation	crossref_cc_vor_candidate					Serum-free media drive lipid accumulation in porcine satellite cells intended for cultivated meat	http://creativecommons.org/licenses/by/3.0/	vor	http://pubs.rsc.org/en/content/articlepdf/2026/FB/D5FB00572H	unspecified		zotero-oa-audit-v1
6	2026	10.1016/j.tifs.2025.105526	Accelerating cultivated meat bioprocess innovation: Rational design of cost-effective serum-free media via the convergence of data-driven analytics and synthetic biology platforms	Serum-free media design optimization	metadata_only_license_unverified					Accelerating cultivated meat bioprocess innovation: Rational design of cost-effective serum-free media via the convergence of data-driven analytics and synthetic biology platforms			https://api.elsevier.com/content/article/PII:S0924224425006624?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
7	2026	10.1016/j.fufo.2026.100934	Environmental impacts of producing culture medium consisting of serum-free, food and complex ingredients for cultivated meat	LCA of serum-free medium for cultivated meat	crossref_cc_vor_candidate					Environmental impacts of producing culture medium consisting of serum-free, food and complex ingredients for cultivated meat	http://creativecommons.org/licenses/by-nc/4.0/	vor	https://api.elsevier.com/content/article/PII:S2666833526000365?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
8	2026	10.1016/j.foodhyd.2025.111758	Scalable production of cell-based fish meat constructs using 3D porous gelatin microcarriers and seven-band grouper (Epinephelus septemfasciatus) muscle satellite cells	Expansion medium for fish satellite cells	metadata_only_license_unverified					Scalable production of cell-based fish meat constructs using 3D porous gelatin microcarriers and seven-band grouper (Epinephelus septemfasciatus) muscle satellite cells			https://api.elsevier.com/content/article/PII:S0268005X25007180?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
9	2026	10.3390/foods15020352	Valorization of Hemp, Shrimp and Blue Crab Co-Products as Novel Culture Media Ingredients to Improve Protein Quality and Antioxidant Capacity of Cultured Meat in Cell-Based Food Applications	Hydrolysates as serum-free medium supplements	epmc_jats_candidate	PMC12840615	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12840615/fullTextXML	Valorization of Hemp, Shrimp and Blue Crab Co-Products as Novel Culture Media Ingredients to Improve Protein Quality and Antioxidant Capacity of Cultured Meat in Cell-Based Food Applications	https://creativecommons.org/licenses/by/4.0/	vor	https://www.mdpi.com/2304-8158/15/2/352/pdf	unspecified		zotero-oa-audit-v1
10	2026	10.1038/s41538-026-00706-w	Optimizing muscle satellite cell sources for cultured meat: anatomical origin influences cellular properties and quality attributes	Optimizes satellite cell source for proliferation	epmc_jats_candidate	PMC12901286	Y	Y	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12901286/fullTextXML	Optimizing muscle satellite cell sources for cultured meat: anatomical origin influences cellular properties and quality attributes	https://creativecommons.org/licenses/by/4.0	vor	https://www.nature.com/articles/s41538-026-00706-w	text/html		zotero-oa-audit-v1
11	2026	10.1016/j.pep.2026.106894	Hyper-expression of functional human basic fibroblast growth factor 2 in Escherichia coli	hbFGF2 expression for media cost	metadata_only_license_unverified		N	N		Hyper-expression of functional human basic fibroblast growth factor 2 in Escherichia coli			https://api.elsevier.com/content/article/PII:S1046592826000173?httpAccept=text/xml	text/xml		zotero-oa-audit-v1
