relevance	has_pdf	year	doi	title	why	model	run_id
yes	no	2025	10.1016/j.seppur.2025.132415	Layered sodium zirconium phosphate adsorbent for ammonia removal in cell culture media for cultivated meat application	Ammonia removal in culture media	deepseek-chat	20260715T011514
yes	no	2025	10.1021/acsfoodscitech.5c00023	Sustainable Alternatives to Fetal Bovine Serum: Evaluating the Role of Plant and Insect Protein Isolates in Serum-Free Media for Bovine Satellite Cell Proliferation in Cultivated Meat Production	Serum-free media with protein isolates	deepseek-chat	20260715T011514
yes	no	2025	10.1016/j.copbio.2025.103313	Genome-scale metabolic models in cultivated meat: advances, challenges, and future directions	Reviews serum-free media optimization for cultivated meat	deepseek-chat	20260715T011514
yes	no	2025	10.3389/fbioe.2025.1617115	Development and optimization of an ammonia removal strategy for sustainable recycling of cell culture spent media in cultivated meat production: from concept to implementation	Spent media recycling for cell growth	deepseek-chat	20260715T011514
yes	no	2026	10.1016/j.foodcont.2025.111830	Antimicrobial peptides can substitute antibiotics to control bacterial growth in cultivated meat production without compromising myogenic potential	Antimicrobials in MSC culture medium	deepseek-chat	20260715T011514
yes	no	2025	10.1016/j.fufo.2025.100618	Production of cultivated meat with stably proliferated porcine muscle stem cells and edible scaffolds	VPA promotes MuSC proliferation medium	deepseek-chat	20260715T011514
yes	no	2025	10.1016/j.cej.2025.164496	Sustainable food-grade serum-reducing biomaterial: Plant protein hydrolysates for scalable cultivated meat manufacturing	Plant hydrolysates as serum reducers	deepseek-chat	20260715T011514
yes	no	2025	10.1186/s12934-025-02670-8	Enhancing recombinant growth factor and serum protein production for cultivated meat manufacturing	Recombinant growth factors production	deepseek-chat	20260715T011514
yes	no	2025	10.5851/kosfa.2025.e17	Citrus sunki Peel Extract Enhances Proliferation and Differentiation of Fibro-Adipocyte Progenitors in Holstein Cattle for Cultivated Meat Production	Citrus extract enhances FAP proliferation	deepseek-chat	20260715T011514
yes	no	2025	10.3390/foods14244348	Development of a Cost-Effective, Heme-Tolerant Bovine Muscle Cell for Cultivated Meat Production	Heme-tolerant muscle cell, medium development	deepseek-chat	20260715T011514
yes	no	2025	10.1016/j.tifs.2025.105178	Towards affordable cultivated meat: The potential of plant protein hydrolysates	Plant protein hydrolysates as serum replacement	deepseek-chat	20260715T011514
yes	no	2024	10.1016/j.crfs.2024.100842	Machine learning tools for peptide bioactivity evaluation - Implications for cell culture media optimization and the broader cultivated meat industry	Peptides for media optimization	deepseek-chat	20260715T011514
yes	no	2025	10.1007/s43393-025-00358-z	Valorisation of spent cultivated meat media for recombinant FGF2 production in Lactococcus lactis	Spent media valorization for growth factors	deepseek-chat	20260715T011514
yes	no	2024	10.3389/fnut.2024.1315555	Challenges and opportunities in cell expansion for cultivated meat	Cell expansion challenges and medium	deepseek-chat	20260715T011514
yes	no	2024	10.1111/1541-4337.13350	A review on the safety of growth factors commonly used in cultivated meat production	Safety review of growth factors for medium	deepseek-chat	20260715T011514
yes	no	2023	10.1111/1541-4337.13193	Systems biology and metabolic modeling for cultivated meat: A promising approach for cell culture media optimization and cost reduction	Media optimization via systems biology	deepseek-chat	20260715T011514
yes	no	2023	10.1016/j.crfs.2023.100545	Bovine muscle satellite cells in calves and cattle: A comparative study of cellular and genetic characteristics for cultivated meat production	Compares SMSC growth rates; proliferation focus	deepseek-chat	20260715T011514
yes	no	2023	10.1021/acsfoodscitech.2c00401	Ultrafiltrated Extracts of Fermented Okara as a Possible Serum Alternative for Cell Culturing: Potential in Cultivated Meat Production	Serum alternative from okara extracts	deepseek-chat	20260715T011514
yes	no	2023	10.1016/j.fufo.2023.100226	The effect of serum-free media on the metabolic yields and growth rates of C2C12 cells in the context of cultivated meat production	Serum-free media for C2C12 growth	deepseek-chat	20260715T011514
yes	no	2023	10.1016/j.scitotenv.2023.164988	Toward sustainable culture media: Using artificial intelligence to optimize reduced-serum formulations for cultivated meat	Reduced-serum media optimization for cell growth	deepseek-chat	20260715T011514
yes	no	2024	10.1016/j.biteb.2024.101834	Black soldier fly bioconversion to cultivated meat media components using blue catfish gut microbiome	Hydrolysates as media components	deepseek-chat	20260715T011514
yes	yes	2022	10.1038/s41538-022-00157-z	Spent media analysis suggests cultivated meat media will require species and cell type optimization	Media optimization for muscle cells	deepseek-chat	20260715T011514
yes	yes	2023	10.3390/su152316164	Microbiota-Derived Postbiotics Enhance the Proliferative Effects of Growth Factors on Satellite Cells in Cultivated Meat Applications	Postbiotics reduce growth factor need	deepseek-chat	20260715T011514
yes	no	2023	10.1016/j.jclepro.2023.138153	Environmental life cycle assessment of recombinant growth factor production for cultivated meat applications	LCA of growth factor production	deepseek-chat	20260715T011514
yes	no	2026	10.3390/foods15040783	Standardising Culture Medium Safety Testing for Cultivated Meat: Outputs from a Workshop and Case Study	Culture medium safety testing focus	deepseek-chat	20260715T011514
yes	yes	2021	10.1111/1541-4337.12678	Considerations for the development of cost-effective cell culture media for cultivated meat production	Cost-effective cell culture media focus	deepseek-chat	20260715T011514
yes	no	2026	10.1016/j.foodres.2025.118251	Postbiotics as a functional supplement to develop cell culture media for cultivated meat production	Postbiotics as FBS alternative for medium	deepseek-chat	20260715T011514
yes	no	2026	10.1016/j.jfutfo.2024.05.014	Cultural optimization of pigeon muscle satellite cells and nutritional evaluation of the pigeon-derived cultivated meat	Optimizes culture conditions for satellite cells	deepseek-chat	20260715T011514
yes	no	2026	10.1039/d5fb00572h	Serum-free media drive lipid accumulation in porcine satellite cells intended for cultivated meat	Serum-free media, lipid accumulation	deepseek-chat	20260715T011514
yes	no	2026	10.1016/j.tifs.2025.105526	Accelerating cultivated meat bioprocess innovation: Rational design of cost-effective serum-free media via the convergence of data-driven analytics and synthetic biology platforms	Serum-free media design optimization	deepseek-chat	20260715T011514
yes	yes	2020	10.1002/bit.27469	Bioprocess development for scalable production of cultivated meat	Bioprocess for cell expansion, likely medium	deepseek-chat	20260715T011514
yes	no	2026	10.1016/j.fufo.2026.100934	Environmental impacts of producing culture medium consisting of serum-free, food and complex ingredients for cultivated meat	LCA of serum-free medium for cultivated meat	deepseek-chat	20260715T011514
yes	no	2024	10.1038/s43016-024-01022-w	Empirical economic analysis shows cost-effective continuous manufacturing of cultivated chicken using animal-free medium	Animal-free medium for continuous chicken cell culture	deepseek-chat	20260715T011514
yes	no	2026	10.1016/j.fufo.2026.100908	Cell culture media for cultivated meat: Review and perspectives on first principles design to drive cost-effective scale-up	Review of cell culture media for CM	deepseek-chat	20260715T011514
yes	no	2024	10.1016/j.crsus.2023.100012	Cultured meat production-Scale and quality	GF overexpression in serum-free medium	deepseek-chat	20260715T011514
yes	no	2023	10.1016/j.ijbiomac.2023.125618	Effects of proanthocyanidins and dialdehyde chitosan on the proliferation and differentiation of bovine myoblast for cultured meat production	Proliferation of bovine myoblasts in vitro	deepseek-chat	20260715T011514
yes	no	2024	10.1016/j.crsus.2023.100009	Engineered autocrine signaling eliminates muscle cell FGF2 requirements for cultured meat production	Engineered autocrine signaling eliminates FGF2 requirement	deepseek-chat	20260715T011514
yes	no	2024	10.1016/j.spc.2024.07.023	Life cycle assessment of Beefy-9 and Beefy-R serum-free culture media for cell-cultivated beef production	Serum-free media for bovine myoblasts	deepseek-chat	20260715T011514
yes	no	2025	10.1016/j.foodres.2024.115633	Microbial lysates as low-cost serum replacements in cellular agriculture media formulation	Microbial lysates as serum replacement	deepseek-chat	20260715T011514
yes	no	2025	10.1016/j.fbio.2025.106218	Milk-derived extract for skeletal muscle cell cultivation	Milk-derived extract for muscle cell culture	deepseek-chat	20260715T011514
yes	no	2025	10.3389/fbioe.2025.1560426	Functional expression and secretion of basic fibroblast growth factor in Lactococcus lactis	Recombinant FGF2 for serum-free media	deepseek-chat	20260715T011514
yes	no	2025	10.1038/s41598-025-27508-6	Multi-response optimization of defined and undefined serum-free media for enhanced proliferation of immortalized lamb muscle cells	Serum-free media optimization for muscle cells	deepseek-chat	20260715T011514
yes	no	2025	10.1038/s41598-025-28441-4	Development of a sustainable strategy for cultured fat production based on serum-free 3D culture of bovine adipose stem cells	Serum-free medium for adipose stem cells	deepseek-chat	20260715T011514
yes	no	2023	10.1016/j.foodres.2023.113194	A simple and robust serum-free media for the proliferation of muscle cells	Serum-free media for muscle cell proliferation	deepseek-chat	20260715T011514
yes	no	2025	10.1038/s41598-025-99603-7	Low-cost food-grade alternatives for serum albumins in FBS-free cell culture media	Serum albumin alternatives in FBS-free media	deepseek-chat	20260715T011514
yes	no	2024	10.1016/j.foodres.2024.115173	Grifola frondosa extract as a fetal bovine serum supplement for the culture of bovine muscle satellite cells under low serum conditions	FBS reduction with Grifola extract for satellite cells	deepseek-chat	20260715T011514
yes	no	2024	10.1016/j.fbio.2024.104610	Efficient expansion culture of bovine myogenic cells with differentiation capacity using muscle extract-supplemented medium	Muscle extract-supplemented medium for myogenic expansion	deepseek-chat	20260715T011514
yes	yes	2024	10.3389/fsufs.2024.1399801	Developmental ability of Hanwoo muscle satellite cells under culture conditions mimicking the in vivo environment	Culture conditions for Hanwoo muscle satellite cells	deepseek-chat	20260715T011514
yes	yes	2024	10.1038/s41538-024-00352-0	Exploring cost reduction strategies for serum free media development	Serum-free media cost reduction strategies	deepseek-chat	20260715T011514
yes	no	2024	10.1016/j.crfs.2024.100855	NMR metabolomics of plant and yeast-based hydrolysates for cell culture media applications - A comprehensive assessment	Hydrolysates for cell culture media	deepseek-chat	20260715T011514
yes	yes	2023	10.5851/kosfa.2023.e68	The Comparison of Commercial Serum-Free Media for Hanwoo Satellite Cell Proliferation and the Role of Fibroblast Growth Factor 2	Serum-free media for satellite cell proliferation	deepseek-chat	20260715T011514
yes	yes	2024	10.3390/genes15121494	Effect of IGF1 on Myogenic Proliferation and Differentiation of Bovine Skeletal Muscle Satellite Cells Through PI3K/AKT Signaling Pathway	IGF1 effect on bovine satellite cell proliferation	deepseek-chat	20260715T011514
yes	yes	2023	10.3390/jfb14040218	Bovine Fibroblast-Derived Extracellular Matrix Promotes the Growth and Preserves the Stemness of Bovine Stromal Cells during In Vitro Expansion	ECM promotes growth of bovine stromal cells	deepseek-chat	20260715T011514
yes	no	2023	10.1016/j.isci.2022.105822	A simplified and defined serum-free medium for cultivating fat across species	Serum-free medium for fat cell culture	deepseek-chat	20260715T011514
yes	yes	2025	10.3390/ijms26094109	The Role of Insulin in the Proliferation and Differentiation of Bovine Muscle Satellite (Stem) Cells for Cultured Meat Production	Growth factors for bovine satellite cells	deepseek-chat	20260715T011514
yes	no	2025	10.1016/j.isci.2025.113242	Serum-free cultured meat production by using Pichia pastoris-derived recombinant albumin	Recombinant albumin as serum replacement for satellite cells	deepseek-chat	20260715T011514
yes	no	2025	10.1016/j.fufo.2025.100582	Applications of recombinant proteins in cultured meat production	Focuses on serum-free media and recombinant proteins for cul	deepseek-chat	20260715T011514
yes	no	2025	10.1016/j.foodres.2025.116670	Sustainable media development for cultured meat: Technology and material reviews	Reviews sustainable media components	deepseek-chat	20260715T011514
yes	no	2025	10.1016/j.fufo.2025.100639	Food safety considerations in the advancement of cultured meat: Evaluating novel ingredients	Evaluates serum alternatives for safety	deepseek-chat	20260715T011514
yes	no	2024	10.1016/j.foodchem.2024.138515	Non-animal protein hydrolysates from agro-industrial wastes: A prospect of alternative inputs for cultured meat	Hydrolysates as serum replacement	deepseek-chat	20260715T011514
yes	no	2025	10.1016/j.crfs.2024.100943	Serum markers for beef meat quality: Potential media supplement for cell-cultured meat production	Serum markers as medium supplement	deepseek-chat	20260715T011514
yes	no	2024	10.1016/j.fufo.2024.100403	The roles of media ingredients in muscle cell culture for cultured meat production-A mini-review	Review of media ingredients	deepseek-chat	20260715T011514
yes	no	2023	10.1016/j.tifs.2023.06.031	Cell culture medium cycling in cultured meat: Key factors and potential strategies	Focuses on medium cycling and key factors	deepseek-chat	20260715T011514
yes	no	2025	10.1016/j.cofs.2024.101243	Gaps and solutions for large scale production of cultured meat: a review on last findings	Reviews medium components and serum replacement	deepseek-chat	20260715T011514
yes	no	2023	10.1016/j.foodres.2023.113660	Improved culture procedure for bovine muscle satellite cells for cultured meat	improved proliferation medium for satellite cells	deepseek-chat	20260715T011514
yes	yes	2023	10.1038/s41598-023-27629-w	Development of serum-free and grain-derived-nutrient-free medium using microalga-derived nutrients and mammalian cell-secreted growth factors for sustainable cultured meat production	serum-free medium using microalga nutrients	deepseek-chat	20260715T011514
yes	yes	2022	10.1038/s42003-022-03423-8	Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat	Serum-free medium for bovine satellite cells	deepseek-chat	20260715T011514
yes	no	2023	10.1016/j.foodres.2023.113017	Efficient expression of a cytokine combination in Saccharomyces cerevisiae for cultured meat production	cytokine expression for cell proliferation	deepseek-chat	20260715T011514
yes	no	2023	10.1038/s43016-022-00658-w	Spontaneous immortalization of chicken fibroblasts generates stable, high-yield cell lines for serum-free production of cultured meat	serum-free medium for immortalized fibroblasts	deepseek-chat	20260715T011514
yes	no	2022	10.1016/j.biomaterials.2022.121650	Production of cultured meat from pig muscle stem cells	pig muscle stem cell expansion medium	deepseek-chat	20260715T011514
yes	no	2022	10.1016/j.cofs.2022.100885	Towards resource-efficient and cost-efficient cultured meat	Reviews cost-effective medium components for cell propagatio	deepseek-chat	20260715T011514
yes	no	2023	10.1016/j.tibtech.2023.01.014	Towards biomanufacturing of cultured meat	Mentions serum-free media development	deepseek-chat	20260715T011514
yes	no	2023	10.1016/j.foodres.2023.112606	N-acetylcysteine promotes the proliferation of porcine adipose-derived stem cells during in vitro long-term expansion for cultured meat production	NAC promotes ADSC proliferation for cultured meat	deepseek-chat	20260715T011514
yes	no	2022	10.1002/btpr.3239	Proliferation and differentiation of primary bovine myoblasts using Chlorella vulgaris extract for sustainable production of cultured meat	Chlorella extract for myoblast proliferation	deepseek-chat	20260715T011514
